ID,Group,Distance,Intensity,Treatment
2202,control,113,31.7222,clinostat
2202,control,114,30.2778,clinostat
2204,control,0,29.5385,clinostat
2204,control,1,29.6154,clinostat
2204,control,2,30.8462,clinostat
2204,control,3,31.9231,clinostat
2204,control,4,33.2308,clinostat
2204,control,5,33.9231,clinostat
2204,control,6,34,clinostat
2204,control,7,34.9231,clinostat
2204,control,8,36.1538,clinostat
2204,control,9,38.1538,clinostat
2204,control,10,39.6923,clinostat
2204,control,11,39.7692,clinostat
2204,control,12,40.5385,clinostat
2204,control,13,41.3077,clinostat
2204,control,14,42.3077,clinostat
2204,control,15,43.7692,clinostat
2204,control,16,43.6923,clinostat
2204,control,17,44.0769,clinostat
2204,control,18,45.1538,clinostat
2204,control,19,46.4615,clinostat
2204,control,20,47.6923,clinostat
2204,control,21,49.7692,clinostat
2204,control,22,53.3077,clinostat
2204,control,23,55.9231,clinostat
2204,control,24,60.3077,clinostat
2204,control,25,67.1538,clinostat
2204,control,26,72.3846,clinostat
2204,control,27,74.9231,clinostat
2204,control,28,73.6154,clinostat
2204,control,29,75.6154,clinostat
2204,control,30,75.3077,clinostat
2204,control,31,78.8462,clinostat
2204,control,32,85.6154,clinostat
2204,control,33,85.6923,clinostat
2204,control,34,84.6154,clinostat
2204,control,35,86.6154,clinostat
2204,control,36,88.4615,clinostat
2204,control,37,90.0769,clinostat
2204,control,38,90.6154,clinostat
2204,control,39,88.9231,clinostat
2204,control,40,89.7692,clinostat
2204,control,41,90.1538,clinostat
2204,control,42,91.2308,clinostat
2204,control,43,90.9231,clinostat
2204,control,44,93,clinostat
2204,control,45,91.7692,clinostat
2204,control,46,93.6154,clinostat
2204,control,47,96.5385,clinostat
2204,control,48,98.9231,clinostat
2204,control,49,99,clinostat
2204,control,50,101,clinostat
2204,control,51,103.6923,clinostat
2204,control,52,99.6154,clinostat
2204,control,53,99.5385,clinostat
2204,control,54,99.7692,clinostat
2204,control,55,95.9231,clinostat
2204,control,56,90.3846,clinostat
2204,control,57,81.9231,clinostat
2204,control,58,79.2308,clinostat
2204,control,59,76.6154,clinostat
2204,control,60,69.6154,clinostat
2204,control,61,66,clinostat
2204,control,62,64.0769,clinostat
