ID,Treatment,distance,intensity
1569,ground,126,53.8837
1569,ground,127,51.3488
1569,ground,128,48.4186
1569,ground,129,46.3023
1569,ground,130,44.6744
1569,ground,131,43.8372
1569,ground,132,43.9302
1569,ground,133,43.4651
1569,ground,134,43.814
1569,ground,135,44.3488
1569,ground,136,43.8372
1569,ground,137,43
1569,ground,138,42.186
1569,ground,139,41.2558
1569,ground,140,41.5116
1569,ground,141,41.2093
1569,ground,142,39.9535
1569,ground,143,38.6512
1569,ground,144,36.7442
1569,ground,145,35.6279
1569,ground,146,36.6279
1569,ground,147,36.3256
1569,ground,148,36.0233
1569,ground,149,36.1628
1569,ground,150,35.8372
1569,ground,151,34.6977
1569,ground,152,32.907
1569,ground,153,30.9535
1569,ground,154,29.5581
1569,ground,155,29.4186
1569,ground,156,29.6047
1569,ground,157,29.8837
1569,ground,158,30.2558
1569,ground,159,30.0465
1569,ground,160,29
1569,ground,161,27.7907
1569,ground,162,27.3023
1569,ground,163,27.1163
1569,ground,164,26.6744
1569,ground,165,26
1569,ground,166,24.9767
1569,ground,167,23.907
1569,ground,168,23.0698
1569,ground,169,22.3488
1569,ground,170,21.907
1569,ground,171,21.1163
1569,ground,172,20.2791
1569,ground,173,19.8837
1569,ground,174,19.6279
1569,ground,175,19.0465
1569,ground,176,18.6047
1569,ground,177,18.093
1569,ground,178,17.6512
1569,ground,179,17.2558
1570,ground,0,30.8571
1570,ground,1,31.2381
1570,ground,2,31.2381
1570,ground,3,31.3095
1570,ground,4,31.5476
1570,ground,5,31.4762
1570,ground,6,31.6905
1570,ground,7,32.1429
1570,ground,8,32.4048
1570,ground,9,33.0714
1570,ground,10,33.8095
1570,ground,11,34.1667
1570,ground,12,34.7619
1570,ground,13,35.9048
1570,ground,14,37.0476
1570,ground,15,37.5952
1570,ground,16,38.2857
1570,ground,17,38.5
1570,ground,18,39.2143
1570,ground,19,40.9286
1570,ground,20,42.8571
1570,ground,21,43.5
1570,ground,22,44.1429
1570,ground,23,45.4762
1570,ground,24,46.1667
1570,ground,25,46.5238
1570,ground,26,46.7381
1570,ground,27,47.119
1570,ground,28,47.5952
1570,ground,29,47.9048
1570,ground,30,48.6429
1570,ground,31,49.7381
1570,ground,32,50.1905
1570,ground,33,50.9762
1570,ground,34,52.1429
1570,ground,35,53.2143
1570,ground,36,53.9524
1570,ground,37,54.5476
1570,ground,38,54.9762
1570,ground,39,55.119
1570,ground,40,55.9762
1570,ground,41,56.9048
1570,ground,42,58.5238
1570,ground,43,60.5
1570,ground,44,63.4048
1570,ground,45,66.7619
1570,ground,46,69.1905
1570,ground,47,70.7619
1570,ground,48,72.1429
1570,ground,49,73.5476
1570,ground,50,74.381
1570,ground,51,75.2381
1570,ground,52,75.4524
1570,ground,53,77.2381
1570,ground,54,79.5238
1570,ground,55,81.119
1570,ground,56,83.1667
1570,ground,57,86.1429
1570,ground,58,88.9048
1570,ground,59,91.6905
1570,ground,60,93.4762
1570,ground,61,94.5714
1570,ground,62,95.7857
1570,ground,63,96.9048
1570,ground,64,97.7619
1570,ground,65,98.0952
1570,ground,66,98.4286
1570,ground,67,98.7619
1570,ground,68,98.9048
1570,ground,69,99
1570,ground,70,99.1667
1570,ground,71,99.619
1570,ground,72,100.0238
1570,ground,73,100.2381
1570,ground,74,100.3333
1570,ground,75,100.0952
1570,ground,76,100.1429
1570,ground,77,100.0238
1570,ground,78,99.4286
1570,ground,79,98.3095
1570,ground,80,97.6905
1570,ground,81,97.2857
1570,ground,82,97.2619
1570,ground,83,97.1429
1570,ground,84,96.7143
1570,ground,85,96.1429
1570,ground,86,95.6667
1570,ground,87,94.4762
1570,ground,88,93.3333
1570,ground,89,92.2857
1570,ground,90,91.0476
1570,ground,91,88.9524
1570,ground,92,86.3095
1570,ground,93,83.5
1570,ground,94,81
1570,ground,95,78.7857
1570,ground,96,76.4286
1570,ground,97,73.4524
1570,ground,98,71
1570,ground,99,69.5238
1570,ground,100,68.8571
1570,ground,101,68.119
1570,ground,102,66.881
1570,ground,103,65.1429
1570,ground,104,64.2619
1570,ground,105,63.5476
1570,ground,106,63.0714
1570,ground,107,63.4762
1570,ground,108,63.6905
1570,ground,109,62.9286
1570,ground,110,61.7857
1570,ground,111,59.6905
1570,ground,112,56.619
1570,ground,113,53.8571
1570,ground,114,52.0952
1570,ground,115,50.4762
1570,ground,116,49.381
1570,ground,117,49.3571
1570,ground,118,49
1570,ground,119,48.381
1570,ground,120,47.8095
1570,ground,121,47.4524
1570,ground,122,47.6429
1570,ground,123,47.2381
1570,ground,124,46.7143
1570,ground,125,45.5714
1570,ground,126,44.6429
1570,ground,127,44.1905
1570,ground,128,43.3333
1570,ground,129,43
1570,ground,130,42.3333
1570,ground,131,41.5476
1570,ground,132,40.5714
1570,ground,133,39.7619
1570,ground,134,39.119
1570,ground,135,38.9524
1570,ground,136,38.4048
1570,ground,137,38.2619
1570,ground,138,37.5952
1570,ground,139,37.0714
1570,ground,140,36.3095
1570,ground,141,35.381
1570,ground,142,34.5476
1570,ground,143,33.8333
1570,ground,144,33.381
1570,ground,145,33.119
1570,ground,146,32.5476
1570,ground,147,31.9762
1571,ground,0,33.7143
1571,ground,1,34.1786
1571,ground,2,34.4286
1571,ground,3,34.6071
1571,ground,4,35
1571,ground,5,35.4643
1571,ground,6,35.9643
1571,ground,7,36.4643
1571,ground,8,37.3214
1571,ground,9,38.0357
1571,ground,10,39.1786
1571,ground,11,40.3571
1571,ground,12,40.75
1571,ground,13,40.9286
1571,ground,14,40.6786
1571,ground,15,40.5357
1571,ground,16,40.9286
1571,ground,17,41.75
1571,ground,18,42.6429
1571,ground,19,43.5
1571,ground,20,45.1429
1571,ground,21,47.1071
1571,ground,22,48.5357
1571,ground,23,49.4286
1571,ground,24,49.7857
1571,ground,25,50.2857
1571,ground,26,51.2143
1571,ground,27,52.25
1571,ground,28,53.1786
1571,ground,29,53.6786
1571,ground,30,53.8214
1571,ground,31,53.7857
1571,ground,32,53.3214
1571,ground,33,53.75
1571,ground,34,54.8571
1571,ground,35,55.8214
1571,ground,36,56.5
1571,ground,37,56.7857
1571,ground,38,56.75
1571,ground,39,56.5
1571,ground,40,56.0357
1571,ground,41,54.9286
1571,ground,42,54
1571,ground,43,53.6786
1571,ground,44,55.0714
1571,ground,45,56.75
1571,ground,46,59.0357
1571,ground,47,62.7857
1571,ground,48,65.9643
1571,ground,49,68
1571,ground,50,70.3929
1571,ground,51,73.4286
1571,ground,52,77.7143
1571,ground,53,81.1429
1571,ground,54,84.2857
1571,ground,55,86.3571
1571,ground,56,88.5357
1571,ground,57,91.2143
1571,ground,58,94.3214
1571,ground,59,97.1429
1571,ground,60,100.1786
1571,ground,61,103.1429
1571,ground,62,105.5714
1571,ground,63,107.6786
1571,ground,64,110.0357
1571,ground,65,111.3214
1571,ground,66,111.2857
1571,ground,67,110.8929
1571,ground,68,111.4286
1571,ground,69,112.3214
1571,ground,70,113.1429
1571,ground,71,113.4286
1571,ground,72,114.3929
1571,ground,73,115.3571
1571,ground,74,115.6071
1571,ground,75,115.7143
1571,ground,76,115.1071
1571,ground,77,114.8929
1571,ground,78,114.1429
1571,ground,79,112.4286
1571,ground,80,110.1429
1571,ground,81,108.25
1571,ground,82,108.0714
1571,ground,83,108.3571
1571,ground,84,108.2857
1571,ground,85,108.4286
1571,ground,86,108.0714
1571,ground,87,108.3929
1571,ground,88,108.2857
1571,ground,89,107.1429
1571,ground,90,106
1571,ground,91,105.5357
1571,ground,92,104.0714
1571,ground,93,102.6429
1571,ground,94,102.1429
1571,ground,95,101.6429
1571,ground,96,101.75
1571,ground,97,102.1429
1571,ground,98,103.1071
1571,ground,99,104.0357
1571,ground,100,101.7857
1571,ground,101,97
1571,ground,102,91.5714
1571,ground,103,87.75
1571,ground,104,83.3571
1571,ground,105,77.1786
1571,ground,106,70.25
1571,ground,107,65.9286
1571,ground,108,64.4286
1571,ground,109,64.1429
1571,ground,110,63.1071
1571,ground,111,61.1429
1571,ground,112,59.6429
1571,ground,113,58.8929
1571,ground,114,57.8929
1571,ground,115,56.3214
1571,ground,116,54.6786
1571,ground,117,52.6786
1571,ground,118,51.2857
1571,ground,119,49.8571
1571,ground,120,48.6429
1571,ground,121,48.4286
1571,ground,122,48.1786
1571,ground,123,47.8929
1571,ground,124,46.8929
1571,ground,125,46.1071
1571,ground,126,45.7857
1571,ground,127,45.0357
1571,ground,128,43.6429
1571,ground,129,42.3571
1571,ground,130,41.1071
1571,ground,131,40.2143
1571,ground,132,39.7857
1571,ground,133,39.3929
1571,ground,134,38.25
1571,ground,135,37.1786
1571,ground,136,36.5357
1571,ground,137,36.4643
1571,ground,138,36.5714
1571,ground,139,36.8929
1571,ground,140,36.7857
1571,ground,141,36.2857
1571,ground,142,35.1786
1571,ground,143,34.6786
1571,ground,144,34.3929
1571,ground,145,33.9286
1572,ground,0,25.3778
1572,ground,1,25.7111
1572,ground,2,26.0889
1572,ground,3,26.1556
1572,ground,4,26.3778
1572,ground,5,26.6
1572,ground,6,26.9333
1572,ground,7,27.5333
1572,ground,8,27.3778
1572,ground,9,27.4222
1572,ground,10,28
1572,ground,11,29.4889
1572,ground,12,31.0222
1572,ground,13,32.2
1572,ground,14,32.5778
1572,ground,15,32.8
1572,ground,16,33.2667
1572,ground,17,34.0222
1572,ground,18,34.8667
1572,ground,19,36.0667
1572,ground,20,37.6667
1572,ground,21,39.8
1572,ground,22,41.7333
1572,ground,23,42.8444
1572,ground,24,43.3333
1572,ground,25,44.0889
1572,ground,26,45.0667
1572,ground,27,46.1111
1572,ground,28,47.3111
1572,ground,29,49.4667
1572,ground,30,52
1572,ground,31,54.8
1572,ground,32,57.4222
1572,ground,33,59.4
1572,ground,34,61.2222
1572,ground,35,63.1111
1572,ground,36,64.7778
1572,ground,37,65.6889
1572,ground,38,66.1333
1572,ground,39,65.0444
1572,ground,40,62.3111
1572,ground,41,59.5333
1572,ground,42,57.3111
1572,ground,43,56.3556
1572,ground,44,57.6
1572,ground,45,60.8667
1572,ground,46,64.8
1572,ground,47,68
1572,ground,48,70.4667
1572,ground,49,72.1111
1572,ground,50,73.3778
1572,ground,51,73.6889
1572,ground,52,75.1111
1572,ground,53,78.3111
1572,ground,54,82
1572,ground,55,86.0889
1572,ground,56,89.7333
1572,ground,57,92.4889
1572,ground,58,93.1778
1572,ground,59,93.0444
1572,ground,60,92.8667
1572,ground,61,92.9333
1572,ground,62,92.9333
1572,ground,63,93.2
1572,ground,64,94.1333
